	ime	leto	obrazlozitev	id
0	Italijanska ulica	2009	Ob tej ulici je javni program restavracij, picerij, kavarn in tržnice, kar spominja na mediteranski izraz ponudbe prostora.	610111549;1672
1	Lajovčeva ulica	2008	Lajovic Anton, roj. 1878 v Vačah, umrl 1960 v Ljubljani; skladatel.	610111536;1655
2	Jakopičevo sprehajališče	1958	Rihard Jakopič, roj. 1869, umrl 1943 v Ljubljani; slovenski slikar, zastopnik impresionizma.	610110359;382
3	Leskovičeva ulica	2008	Leskovic Bogo, 1909 Dunaj - 1995 Ljubljana; dirigent in skladatelj.	610111538;1657
4	Mačkova ulica	1952	Gregor Maček, roj. ok. 1670, umrl 1745 v Ljubljani; stavbenik slovenskega baroka, zgradil mestno hišo (Magistrat) in dovršil zidavo stolnice.	610110578;625
5	Linhartova cesta	1899	Anton Tomaž Linhart, roj. 1756 v Radovljici, umrl 1795 v Ljubljani; dramatik in zgodovinar, postavil je temelj slovenski dramatiki in kot prvi kritično obravnaval zgodovino Slovencev.	610110557;604
6	Lipovškova ulica	2008	Lipovšek Marijan, roj. 1910 v Ljubljani, umrl 1995 v Ljubljani; skladatelj in pianist.	610111539;1658
7	Majde Šilčeve ulica	1957	Majda Šilc, roj. 1923 v Kržetih pri Sodražici, padla 1944 kot bolničarka pri Gornji Težki vodi pri Novem mestu; trgovska pomočnica, od 1941 aktivistka OF v Ljubljani, narodna herojinja.	610110583;636
8	Miklošičev park	1991	Park v katerem stoji spomenik dr. Francu Miklošiču.	610110637;663
9	Medvedova cesta	1923	Anton Medved, roj. 1869 v Kamniku, umrl 1910 na Turjaku; pesnik in pisatelj.	610110620;681
10	Na Trati	1939	Domače krajevno ime.	610110682;759
11	Pot v hribec	1970	Domače ime.	610110916;985
12	Jurčičev trg	1892	Josip Jurčič, roj. 1844 na Muljavi pri Krki, umrl 1881 v Ljubljani; pisatelj, utemeljitelj sodobne slovenske pripovedne proze ter pisec prvega slovenskega romana (Deseti brat, 1866).	610110388;416
13	Salendrova ulica	1876	Po ljubljanskih meščanih Salitinger, lastnikih hiše v tej ulici konec 16. in na začetku 17. stoletja. Ljudstvo je priimek sčasoma po svoje preoblikovalo.	610111037;1124
14	Šivičeva ulica	2008	Šivic Pavel, roj. 1908 v Radovljici, umrl 1995 v Ljubljani; skladatelj, pianist, pedagog in publicist.	610111542;1661
15	Trg mladih	2009	Trg mladih - je prva urbana poteza s privlačnim imenom za mlade »ALEJA MLADIH« v BTC Cityju Ljubljana z javnim rekreativno-zabavnim programom. Povezuje in tvori javen odprt human prostor meda dvorano A in City parkom. Vsa ponudba tega prostora se določa s tem imenom že dobrih 10 let. In kot tako se je dobro prijelo v širši javnosti.	610111554;1677
16	Ulica za travniki	2008	Po starem domačem lokalnem imenu predela, kjer ulica poteka.	610111545;1664
17	Abramova ulica	1993	Jože Abram, roj. 1875 v Štanjelu pri Gorici, umrl 1938 v Ljubljani; ljudsko prosvetni organizator. Na Goriškem ustanavljal prosvetna in gospodarska društva. Zaslužen za planinstvo v Trenti.	610110001;2
18	Abramova ulica	1993	Jože Abram, roj. 1875 v Štanjelu pri Gorici, umrl 1938 v Ljubljani; ljudsko prosvetni organizator. Na Goriškem ustanavljal prosvetna in gospodarska društva. Zaslužen za planinstvo v Trenti.	610110001;1
19	Adamičeva ulica	1968	Louis Adamič, roj. 1898 v Blatu pri Grosuplju, ubit 1951 v Milfordu v Združenih državah Amerike; ameriški književnik slovenskega rodu. V drugi svetovni vojni je literarno in politično podpiral osvobodilni boj jugoslovanskih narodov.	610110003;3
20	Ulica Goce Delčeva	1952	Goce Delčev, roj. 1872 v Kukušu, padel 1903v boju s Turki v Banici; ideolog in organizator makedonskega narodnorevolucionarnega gibanja, član centralnega komiteja VMRO.	610111260;1367
21	Adamič-Lundrovo nabrežje	1952	Ivan Adamič, roj. 1893, umrl 1908 v Ljubljani: dijak. Rudolf Lunder, roj. 1886, umrl 1908 v Ljubljani; strojnik. Ustreljena od avstrijskega vojaštva ob protinemških demonstracijah 20. 9. 1908.	610110002;6
22	Agrokombinatska cesta	1988	Po Agrokombinatu Emona.	610110004;7
23	Agrokombinatska cesta	1988	Po Agrokombinatu Emona.	610110004;2330
24	Jegličeva cesta	1952		610110695;769
25	Ajdovščina	1991	Ljudsko poimenovanje kraja s preostanki bivališč in grobov predslovenskih prebivalcev - poganov. Omembe tega imena so ohranjene od 17. stoletja naprej.	610110005;883
26	Ajdovščina	1991	Ljudsko poimenovanje kraja s preostanki bivališč in grobov predslovenskih prebivalcev - poganov. Omembe tega imena so ohranjene od 17. stoletja naprej.	610110005;8
27	Vojkova cesta	2010	Janko Premrl-Vojko, roj. 1920 v Šentvidu pri Vipavi, padel 1943 v bojih pri Idrijski Beli kot komandant 1. primorske brigade; dijak, predvojni revolucionar, narodni heroj.	610111389;1477
28	Cankarjeva cesta	1946	Ivan Cankar, roj. 1876 na Vrhniki, umrl 1918 v Ljubljani; pisatelj, klasik slovenske dramatike, vrhunski stilist, mojster impresionistične in simbolistične kratke pripovedi, oster družbeni in kulturni kritik, satirik, ena vodilnih osebnosti slovenske lite	610110092;97
29	Aleševa ulica	1970	Po bližnji domačiji.	610110006;9
30	Alešovčeva ulica	1957	Jakob Alešovec, roj. 1842 na Skaručni, umrl 1901 v Ljubljani; časnikar in ljudski pisatelj, humorist in satirik.	610110007;11
31	Alešovčeva ulica	1957	Jakob Alešovec, roj. 1842 na Skaručni, umrl 1901 v Ljubljani; časnikar in ljudski pisatelj, humorist in satirik.	610110007;2434
32	Aličeva ulica	1985	Po bratih Alič, Ivan Alič, 1906 Sostro - 1942 na Kozjaku; član KP. Franc Alič, 106 sostro - 1965 Ljubljana; član KP, nosilec partizanske spomenice. Andrej Alič, 1897 - 1981 Ljubljana; udeleženec NOB.	610110008;1722
33	Aljaževa ulica	1923	Jakob Aljaž, roj. 1845 v Zavrhu pri Smledniku, umrl 1927 na Dovjem; duhovnik, planinec in skladatelj. Zaslužen za slovensko planinstvo (Aljažev stolp na Triglavu).	610110009;13
34	Baragova ulica	1997	Friderik Irenij Baraga, roj. 1797 v Mali vasi pri Dobrniču, umrl 1868 v Marguetteu v ZDA; misijonar in jezikoslovec, ameriški škof.	610110010;14
